epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1350.28,0.9457,2.98004,1.31771,0.74033,0.41752,0.41047,0.29126,0.94752,2.97108,1.43145,0.00036818,0.00036818,0.00036818
2,2556.16,0.96792,2.01896,1.29886,0.7989,0.42599,0.42549,0.29513,1.00532,2.69829,1.48865,0.000709268,0.000709268,0.000709268
