epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1204.5,0.9457,2.98004,1.31771,0.74033,0.41752,0.41047,0.29126,0.94752,2.97108,1.43145,0.00036818,0.00036818,0.00036818
2,2410.29,0.96792,2.01896,1.29886,0.7989,0.42599,0.42549,0.29513,1.00532,2.69829,1.48865,0.000709268,0.000709268,0.000709268
3,3606.63,1.0073,1.81224,1.32185,0.78523,0.41092,0.47675,0.34208,0.96569,2.20781,1.38096,0.00102103,0.00102103,0.00102103
4,4800.4,0.96755,1.55098,1.29322,0.75096,0.44509,0.49232,0.34832,0.93682,1.89901,1.35306,0.000979013,0.000979013,0.000979013
5,5998.51,0.92712,1.31569,1.25086,0.74827,0.53359,0.55635,0.40434,0.89359,1.48946,1.3371,0.000935018,0.000935018,0.000935018
6,7201.12,0.91875,1.27827,1.24531,0.64991,0.55094,0.53049,0.39277,0.85951,1.35557,1.31205,0.000891022,0.000891022,0.000891022
7,8399.41,0.908,1.17207,1.24561,0.54368,0.53425,0.57153,0.43076,0.86088,1.22538,1.36231,0.000847026,0.000847026,0.000847026
8,9589.64,0.87151,1.0777,1.23176,0.80924,0.55765,0.60774,0.45479,0.84943,1.18203,1.33864,0.000803031,0.000803031,0.000803031
9,10774.8,0.81532,0.98783,1.19722,0.72839,0.53628,0.535,0.40476,0.84519,1.2698,1.29954,0.000759035,0.000759035,0.000759035
10,11961.2,0.83452,0.99822,1.20733,0.76016,0.57921,0.60304,0.45984,0.85489,1.06405,1.32169,0.00071504,0.00071504,0.00071504
